OID_;OBJECTID;IDESTACION;FECHAACTUA;MODO;CODIGOESTA;DENOMINACI;SITUACION;CODIGOCTME;CODIGOEMPR;DENOMINA_1;MODOINTERC;CODIGOINTE;TIPO;CODIGOPROV;CODIGOMUNI;CODIGOENTI;CODIGONUCL;CODIGOVIA;TIPOVIA;PARTICULA;NOMBREVIA;TIPONUMERO;NUMEROPORT;CALIFICADO;CARRETERA;CODIGOPOST;DISTRITO;SECCIONCEN;BARRIO;TESELA;SECTORURBA;SECTOR;CORREDOR;CORONATARI;CORONA123;ZONATRANSP;ENCUESTADO;ENCUESTAAF;HOJA25000;ACONDICION;ACONDICI_1;FECHAALTA;FECHAINICI;FECHAFIN;X;Y;GRADOACCES;SITUACIONC;DENOMINA_2;INTERURBAN;INTERURB_1;LINEAS;POINT_Y;POINT_X
71;72;4_22;20240628;4;22;BUENOS AIRES;I;22;122; ;93;50;U;28;79;7901;790101;00130;Avda;de la;Albufera;N;179; ; ;28038;13;198;135;T07911982;0790101732;;3;A;2;079-13-345;345; ;559-4;2;3;19990405;19930701; ;444612;4471631;N; ; ; ; ;1;40,39156288;-3,65390612
72;73;4_19;20240628;4;19;PUENTE DE VALLECAS;I;19;119; ;92;51;U;28;79;7901;790101;00130;Avda;de la;Albufera;N;1; ; ;28053;13;42;132;T07911322;0790101001;3;3;A;2;079-13-351;351; ;559-4;2;3;19990405;19930701; ;443332;4472377;N; ; ; ; ;1;40,39819215;-3,669059
73;74;4_178;20240628;4;178;PAVONES;I;178;918; ;91;52;U;28;79;7901;790101;04590;Calle;de la;Hacienda de Pavones;N;342; ; ;28030;14;3;141;T07911071;0790101696;4;3;A;2;079-14-394;394; ;559-4;2;3;19990405;19930701; ;446214;4472613;T; ; ; ; ;9;40,40051155;-3,63512256
74;75;4_273;20240628;4;273;VILLAVERDE ALTO;I;273;357; ;91;82;U;28;79;7901;790101;45300;Calle;del;Valle de Tobalina;N;56; ; ;28021;17;106;171;T07916147;0790101855;3;4;A;2;079-17-484;484; ;559-3;2;3;20070420;20070101; ;439638;4466082;T; ; ; ; ;3;40,34122866;-3,71199027
75;76;4_15;20240628;4;15;ESTACION DEL ARTE;I;15;115; ;92;29;U;28;79;7901;790101;01949;Plaza;del;Emperador Carlos V;N;11; ; ;28012;1;58;12;T0799927;0790101564;1;4;A;1;079-01-023;23; ;559-3;2;3;19990405;19930701; ;441353;4473575;N; ; ; ; ;1;40,4088516;-3,69248727
76;77;4_16;20240628;4;16;ATOCHA;I;16;116; ;90;54;U;28;79;7901;790101;01357;Avda;de la;Ciudad de Barcelona;N;2;B; ;28007;2;83;27;T07910055;0790101717;1;4;A;1;079-02-033;33; ;559-3;2;3;19990405;19930701; ;441615;4473322;T; ; ; ; ;1;40,40658682;-3,68937811
77;78;4_36;20240628;4;36;OPERA;I;36;209; ;92;31;U;28;79;7901;790101;02909;Plaza;de;Isabel II;N;9; ; ;28013;1;4;11;T0799022;0790101330;1;5;A;1;079-01-012;12; ;559-1;2;3;19990405;19930701; ;439924;4474612;T; ; ; ; ;2, 5, R;40,41809292;-3,70941861
78;79;4_57;20240628;4;57;ALONSO MARTINEZ;I;57;404; ;92;133;U;28;79;7901;790101;00250;Plaza;de;Alonso Martínez;N;4; ; ;28004;7;72;73;T0797936;0790101296;;5;A;1;079-07-139;139; ;559-1;2;3;19990405;19930701; ;441076;4475672;N; ; ; ; ;4, 5, 10;40,42772011;-3,6959387
79;80;4_3;20240628;4;3;TETUAN;I;3;103; ;93;348;U;28;79;7901;790101;00886;Calle;de;Bravo Murillo;N;264; ; ;28020;6;58;63;T0793966;0790101261;;6;A;1;079-06-112;112; ;559-1;2;3;19990405;19930701; ;440909;4479318;N; ; ; ; ;1;40,46055188;-3,69824989
80;81;4_293;20240628;4;293;LA GAVIA;I;293;128; ;93;246;U;28;79;7901;790101;C0380;Avda;del;Ensanche de Vallecas;N;16; ; ;28031;18;47;181;T07914868;0790101A16;;3;A;2;079-18-512;512; ;559-4;2;3;20070511;20070101; ;448028;4469234;T; ; ; ; ;1;40,37019166;-3,61346348
81;82;4_58;20240628;4;58;COLON;I;58;405; ;92;67;U;28;79;7901;790101;01396;Plaza;de;Colón;N;2; ; ;28046;7;75;74;T0798170;0790101295;1;5;A;1;079-07-140;140; ;559-1;2;3;19990405;19930701; ;441493;4475413;N; ; ; ; ;4;40,42541918;-3,69100739
82;83;4_34;20240628;4;34;SEVILLA;I;34;207; ;92;345;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;23; ; ;28014;1;72;13;T0798991;0790101331;;5;A;1;079-01-015;15; ;559-1;2;3;19990405;19930701; ;440787;4474601;T; ; ; ; ;2;40,41805075;-3,69925114
83;84;4_30;20240628;4;30;GOYA;I;30;203; ;91;61;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;96; ; ;28009;4;19;42;T0798443;0790101467;1;1;A;1;079-04-075;75; ;559-2;2;3;19990405;19930701; ;442773;4475306;T; ; ; ; ;2, 4;40,42454839;-3,67591018
84;85;4_31;20240628;4;31;PRINCIPE DE VERGARA;I;31;204; ;93;301;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;123; ; ;28009;4;15;42;T0798579;0790101468;;1;A;1;079-04-075;75; ;559-2;2;3;19990405;19930701; ;442414;4475131;T; ; ; ; ;2, 9;40,42294486;-3,68012268
85;86;4_32;20240628;4;32;RETIRO;I;32;205; ;93;314;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;81; ; ;28009;3;68;35;T0798814;0790101471;;3;A;1;079-03-047;47; ;solape;2;3;19990405;19930701; ;441892;4474842;N; ; ; ; ;2;40,42030672;-3,68624472
86;87;4_33;20240628;4;33;BANCO DE ESPAÑA;I;33;206; ;92;60;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;49; ; ;28014;1;73;14;T0798937;0790101327;1;5;A;1;079-01-010;10; ;559-1;2;3;19990405;19930701; ;441152;4474728;N; ; ; ; ;2;40,41921979;-3,69496511
87;88;4_37;20240628;4;37;SANTO DOMINGO;I;37;210; ;91;62;U;28;79;7901;790101;05386;Calle;de;San Bernardo;N;11; ; ;28013;1;3;11;T0798775;0790101328;1;5;A;1;079-01-012;12; ;559-1;2;3;19990405;19930701; ;440051;4474969;N; ; ; ; ;2;40,42131541;-3,70795528
88;89;4_133;20240628;4;133;SAN BLAS;I;133;702; ;93;326;U;28;79;7901;790101;07062;Calle;de;Pobladura del Valle;N;27; ; ;28037;20;31;203;T0797794;0790101490;;2;A;2;079-20-564;564; ;559-2;2;3;19990405;19930701; ;447903;4475651;N; ; ; ; ;7;40,42799191;-3,61546908
89;90;4_134;20240628;4;134;SIMANCAS;I;134;703; ;93;346;U;28;79;7901;790101;01224;Calle;del;Castillo de Madrigal de las Altas Torres;N;15; ; ;28037;20;17;201;T0797983;0790101482;;2;A;2;079-20-561;561; ;559-2;2;3;19990405;19930701; ;447033;4475657;N; ; ; ; ;7;40,42799237;-3,62572167
90;91;4_263;20240628;4;263;PINAR DE CHAMARTIN;I;263;153; ;92;96;U;28;79;7901;790101;00582;Calle;de;Arturo Soria;N;330; ; ;28033;15;164;159;T0791592;0790101155;4;1;A;2;079-15-397;397; ;559-2;2;3;20070409;20070101; ;443592;4481471;T; ; ; ; ;1, 4;40,48013998;-3,66680448
91;92;4_266;20240628;4;266;PINAR DE CHAMARTIN;I;263;423; ;92;96;U;28;79;7901;790101;00582;Calle;de;Arturo Soria;N;330; ; ;28033;15;164;159;T0791592;0790101155;4;1;A;2;079-15-397;397; ;559-2;2;3;20070410;20070101; ;443595;4481471;T; ; ; ; ;1, 4;40,48013849;-3,66676107
92;93;4_286;20240628;4;286;ESTADIO METROPOLITANO;I;286;751; ;93;210;U;28;79;7901;790199;10964;Avda;de;Arcentales;N;28; ; ;28022;20;67;205;T0795745;0790199999;;2;A;2;079-20-555;555; ;559-2;2;3;20070507;20070101; ;449206;4476242;T; ; ; ; ;7;40,43339349;-3,60015365
93;94;4_285;20240628;4;285;AEROPUERTO T-4;I;285;808; ;90;33;U;28;79;7901;790101;20169;Ctra;de;Alcobendas a Barajas;SN;SN; ; ;28042;21;15;212;T079339;0790101240;4;2;A;2;079-21-585;585; ;559-2;2;3;20070503;20070101; ;449835;4482717;T; ; ; ; ;8;40,49176677;-3,5932456
94;95;4_300;20240628;4;300;RIVAS FUTURA;I;300;925; ;93;317;U;28;123;12307;1230701;C0024;Calle; ;Concepción Arenal;N;1; ; ;28529;1;1;;T123416;1230701010;;3;B2;3;123-004;916; ;559-4;2;3;20080717;20080709; ;455537;4465984;T; ; ; ; ;9;40,34134215;-3,52478901
95;96;4_252;20240628;4;252;ALAMEDA DE OSUNA;I;252;552; ;93;121;U;28;79;7901;790101;09118;Calle;de la;Corbeta;N;14; ; ;28042;21;4;211;T0794256;0790101237;;2;A;2;079-21-581;581; ;559-2;2;3;20061123;20061101; ;450295;4478943;T; ; ; ; ;5;40,45778863;-3,58752093
96;97;4_268;20240628;4;268;HOSPITAL 12 DE OCTUBRE;I;268;352; ;92;229;U;28;79;7901;790101;01496;Avda;de;Córdoba;N;49; ; ;28041;12;19;122;T07914198;0790101672;;4;A;2;079-12-326;326; ;559-3;2;3;20070420;20070101; ;441038;4469823;T; ; ; ; ;3;40,37503136;-3,69585469
97;98;4_267;20240628;4;267;ALMENDRALES;I;267;351; ;93;130;U;28;79;7901;790101;01496;Avda;de;Córdoba;N;21; ; ;28026;12;107;124;T07913244;0790101A01;;4;A;1;079-12-325;325; ;559-3;2;3;20070420;20070101; ;440873;4470831;T; ; ; ; ;3;40,38409353;-3,6978814
98;99;4_123;20240628;4;123;VICENTE ALEIXANDRE;I;123;621; ;93;273;U;28;79;7901;790101;11026;Avda;de;Gregorio del Amo;N;4; ; ;28040;9;33;93;T0795691;0790101253;;6;A;2;079-09-221;221; ;559-1;2;3;19990405;19930701; ;439101;4477766;N; ; ; ; ;6;40,4464364;-3,71942671
99;100;4_128;20240628;4;128;PUERTA DEL ANGEL;I;128;626; ;93;306;U;28;79;7901;790101;02110;Paseo;de;Extremadura;N;26; ; ;28011;10;206;102;T0799336;0790101550;;5;A;2;079-10-268;268; ;559-3;2;3;19990405;19930701; ;438409;4474159;N; ; ; ; ;6;40,4138989;-3,72724045
100;101;4_129;20240628;4;129;ALTO DE EXTREMADURA;I;129;627; ;93;135;U;28;79;7901;790101;02110;Paseo;de;Extremadura;N;154; ; ;28011;10;44;102;T0799695;0790101550;;5;A;2;079-10-265;265; ;559-3;2;3;19990405;19930701; ;437413;4473726;N; ; ; ; ;6;40,40992602;-3,73893618
101;102;4_13;20240628;4;13;TIRSO DE MOLINA;I;13;113; ;92;349;U;28;79;7901;790101;06033;Plaza;de;Tirso de Molina;N;7; ; ;28012;1;25;12;T0799530;0790101A10;;5;A;1;079-01-019;19; ;559-3;2;3;19990405;19930701; ;440323;4473971;N; ; ; ; ;1;40,4123481;-3,70465527
102;103;4_47;20240628;4;47;LAVAPIES;I;47;305; ;93;258;U;28;79;7901;790101;03392;Plaza;de;Lavapiés;N;7; ; ;28012;1;50;12;T0799854;0790101977;;5;A;1;079-01-020;20; ;559-3;2;3;19990405;19930701; ;440638;4473543;T; ; ; ; ;3;40,40851094;-3,70090412
103;104;4_226;20240628;4;226;GETAFE CENTRAL;I;226;1220; ;92;92;U;28;65;6503;650301;A0299;Calle; ;Ferrocarril;N;2; ; ;28904;3;16;;T065637;0650301031;7;4;B1;3;065-018;722; ;582-1;2;3;20030120;20030101; ;437737;4462623;T; ; ; ; ;12;40,30992791;-3,73402503
104;105;4_7;20240628;4;7;RIOS ROSAS;I;7;107; ;93;316;U;28;79;7901;790101;05201;Calle;de;Ríos Rosas;N;22; ; ;28003;7;103;75;T0796237; ;;6;A;1;079-07-129;129; ;559-1;2;3;19990405;19930701; ;440632;4477258;N; ; ; ; ;1;40,44197536;-3,70132848
105;106;4_10;20240628;4;10;TRIBUNAL;I;10;110; ;92;355;U;28;79;7901;790101;02365;Calle;de;Fuencarral;N;81; ; ;28004;1;88;14;T0798082;0790101322;;5;A;1;079-01-004;4; ;559-1;2;3;19990405;19930701; ;440637;4475505;T; ; ; ; ;1, 10;40,4261854;-3,70109985
106;107;4_102;20240628;4;102;CAMPAMENTO;I;102;529; ;92;5;U;28;79;7901;790101;07813;Avda;del;Padre Piquer;N;7; ; ;28024;10;133;104;T07911673;0790101584;3;5;A;2;079-10-251;251; ;559-3;2;3;20021120;20020901; ;434921;4472069;N; ; ; ; ;5;40,39480776;-3,76812814
107;108;4_105;20240628;4;105;CARPETANA;I;105;602; ;93;166;U;28;79;7901;790101;08995;Calle; ;Vía Carpetana;N;141; ; ;28025;11;81;114;T07912016;0790101589;;4;A;2;079-11-287;287; ;559-3;2;3;19990405;19930701; ;437222;4471816;T; ; ; ; ;6;40,3927019;-3,74099368
108;109;4_107;20240628;4;107;OPAÑEL;I;107;604; ;93;285;U;28;79;7901;790101;06234;Calle;del;Valle de Oro;N;50;A; ;28019;11;26;112;T07912880;0790101632;;4;A;2;079-11-285;285; ;559-3;2;3;19990405;19930701; ;438733;4471160;N; ; ; ; ;6;40,38690441;-3,72313362
109;110;4_109;20240628;4;109;USERA;I;109;606; ;93;359;U;28;79;7901;790101;00325;Calle;de;Amparo Usera;N;44; ; ;28026;12;61;125;T07912862;0790101628;;4;A;2;079-12-316;316; ;559-3;2;3;19990405;19930701; ;440111;4471170;N; ; ; ; ;6;40,38709669;-3,70689564
110;111;4_113;20240628;4;113;CONDE DE CASAL;I;113;611; ;92;8;U;28;79;7901;790101;01447;Plaza;del;Conde de Casal;N;3; ; ;28007;3;79;36;T07910074;0790101703;1;3;A;1;079-03-057;57; ;559-4;2;3;19990405;19930701; ;443225;4473352;T; ; ; ; ;6;40,40696795;-3,67040807
111;112;4_115;20240628;4;115;O'DONNELL;I;115;613; ;93;284;U;28;79;7901;790101;01736;Calle;del;Doctor Esquerdo;N;47; ; ;28028;4;43;43;T0798632;0790101461;;1;A;1;079-04-078;78; ;559-2;2;3;19990405;19930701; ;443392;4475118;N; ; ; ; ;6;40,42288843;-3,66859515
112;113;4_160;20240628;4;160;BARAJAS;I;160;807; ;92;37;U;28;79;7901;790101;02803;Cmno; ;Viejo de Hortaleza;N;10; ; ;28042;21;28;214;T0791777;0790101230;4;2;A;1;079-21-575;575; ;559-2;2;3;20020215;19980101; ;450732;4480936;T; ; ; ; ;8;40,47577416;-3,58252791
113;114;4_112;20240628;4;112;PACIFICO;I;18;610; ;92;53;U;28;79;7901;790101;00344;Calle;de;Andalucía;N;2; ; ;28007;3;99;32;T07910981;0790101712;1;3;A;1;079-03-064;64; ;559-4;2;3;19990405;19930701; ;442928;4472810;T; ; ; ; ;1, 6;40,40207174;-3,67385604
114;115;4_230;20240628;4;230;EL BERCIAL;S;230;1224; ;93;201;U;28;65;6507;650701;C0027;Avda; ;Comandante José Manuel Ripollés;N;4; ; ;28905;3;1;;T0651016;0650701001;;4;B1;3;065-001;705; ; ;2;3;20030120;20030101; ;438128;4464745;T; ; ; ; ;12;40,32907237;-3,72963318
115;116;4_234;20240628;4;234;HOSPITAL SEVERO OCHOA;I;234;1228; ;92;234;U;28;74;7402;740201;99999;Avda; ;Orellana;N;3; ; ;28914;1;1;;T0741187;0740201001;;4;B1;3;074-031;770; ; ;2;3;20030120;20030101; ;434864;4463962;T; ; ; ; ;12;40,32177027;-3,76797305
116;117;4_59;20240628;4;59;SERRANO;I;59;406; ;93;344;U;28;79;7901;790101;02608;Calle;de;Goya;N;19; ; ;28001;4;5;41;T0798191;0790101379;;1;A;1;079-04-070;70; ;solape;2;3;19990405;19930701; ;441864;4475412;N; ; ; ; ;4;40,42543216;-3,68663044
117;118;4_60;20240628;4;60;VELAZQUEZ;I;60;407; ;93;366;U;28;79;7901;790101;04373;Calle;de;Núñez de Balboa;N;33; ; ;28001;4;12;41;T0798383;0790101469;;1;A;1;079-04-074;74; ;559-2;2;3;19990405;19930701; ;442179;4475365;N; ; ; ; ;4;40,42503255;-3,68291815
118;119;4_63;20240628;4;63;DIEGO DE LEON;I;63;410; ;92;66;U;28;79;7901;790101;01704;Calle;de;Diego de León;N;69; ; ;28028;4;99;45;T0796908;0790101384;1;1;A;1;079-04-067;67; ;559-2;2;3;19990405;19930701; ;442862;4476430;N; ; ; ; ;4, 5, 6;40,43467947;-3,67495273
119;120;4_275;20240628;4;275;MONTECARMELO;I;275;1052; ;93;277;U;28;79;7901;790101;45934;Avda;de;Monasterio de Silos;N;63;A; ;28049;8;165;88;T079442;0790101981;;7;A;2;079-08-145;145; ;534-3;2;3;20070424;20070101; ;441160;4484278;T; ; ; ; ;10;40,50525216;-3,6957507
120;121;4_65;20240628;4;65;PROSPERIDAD;I;65;412; ;93;211;U;28;79;7901;790101;11292;Plaza;de la;Prosperidad;N;4; ; ;28002;5;42;53;T0796021;0790101363;;1;A;1;079-05-097;97; ;559-2;2;3;19990405;19930701; ;442882;4477486;N; ; ; ; ;4;40,44418898;-3,6748189
121;122;4_66;20240628;4;66;ALFONSO XIII;I;66;413; ;93;129;U;28;79;7901;790101;03477;Calle;de;López de Hoyos;N;190; ; ;28002;5;22;52;T0795542;0790101359;;1;A;1;079-05-099;99; ;559-2;2;3;19990405;19930701; ;443471;4477932;N; ; ; ; ;4;40,44824839;-3,66790615
122;123;4_67;20240628;4;67;AVENIDA DE LA PAZ;I;67;414; ;93;149;U;28;79;7901;790101;05092;Avda;de;Ramón y Cajal;N;107; ; ;28043;15;153;156;T0794748;0790101354;;1;A;2;079-15-401;401; ;559-2;2;3;19990405;19930701; ;444046;4478515;N;Esq Avda de Ramón y Cajal; ; ; ;4;40,45354264;-3,661182
123;124;4_68;20240628;4;68;ARTURO SORIA;I;68;415; ;93;74;U;28;79;7901;790101;00582;Calle;de;Arturo Soria;N;172; ; ;28043;15;174;156;T0794431;0790101344;;1;A;2;079-15-401;401; ;559-2;2;3;19990405;19930701; ;444472;4478766;N; ; ; ; ;4;40,45583249;-3,65618122
124;125;4_69;20240628;4;69;ESPERANZA;I;69;416; ;93;207;U;28;79;7901;790101;10219;Calle;de;Andorra;N;51; ; ;28043;16;15;163;T0793932;0790101224;;1;A;2;079-16-458;458; ;559-2;2;3;19990405;19930701; ;445354;4479161;N; ; ; ; ;4;40,4594473;-3,64581718
125;126;4_70;20240628;4;70;CANILLAS;I;70;417; ;93;164;U;28;79;7901;790101;11701;Avda;de;Machupichu;N;64; ; ;28043;16;21;163;T0793492;0790101180;;1;A;2;079-16-455;455; ;559-2;2;3;19990405;19930701; ;446224;4479639;T; ; ; ; ;4;40,46381054;-3,63559546
126;127;4_71;20240628;4;71;MAR DE CRISTAL;I;71;418; ;92;79;U;28;79;7901;790101;11719;Gta;del;Mar de Cristal;N;1;B; ;28033;16;50;164;T0792835;0790101173;4;1;A;2;079-16-452;452; ;559-2;2;3;19990405;19930701; ;445997;4480264;T; ; ; ; ;4, 8;40,46942603;-3,63832267
127;128;4_72;20240628;4;72;SAN LORENZO;I;72;419; ;93;337;U;28;79;7901;790101;07486;Avda;de la;Barranquilla;N;9; ; ;28033;16;58;164;T0792111;0790101173;;1;A;2;079-16-450;450; ;559-2;2;3;19990405;19930701; ;445895;4480825;T; ; ; ; ;4;40,47447074;-3,63957728
128;129;4_73;20240628;4;73;PARQUE DE SANTA MARIA;I;73;420; ;93;291;U;28;79;7901;790101;09561;Calle;de;Santa Virgilia;N;1; ; ;28033;16;64;164;T0791697;0790101168;;1;A;2;079-16-446;446; ;559-2;2;3;19990405;19930701; ;445417;4481122;T; ; ; ; ;4;40,47711429;-3,645242
129;130;4_74;20240628;4;74;CANILLEJAS;I;74;501; ;91;6;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;631; ; ;28022;20;72;207;T0795385;0790101001;4;2;A;2;079-20-547;547; ;559-2;2;3;19990405;19930701; ;448539;4478026;N; ; ; ; ;5;40,44942085;-3,60816032
130;131;4_75;20240628;4;75;TORRE ARIAS;I;75;502; ;93;350;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;557; ; ;28027;20;95;208;T0795643;0790101431;;2;A;2;079-20-545;545; ;559-2;2;3;19990405;19930701; ;447785;4477401;N; ; ; ; ;5;40,4437433;-3,61699471
131;132;4_76;20240628;4;76;SUANZES;I;76;503; ;93;347;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;527; ; ;28037;20;119;201;T0796414;0790101445;;2;A;2;079-20-550;550; ;559-2;2;3;19990405;19930701; ;446948;4477085;N; ; ; ; ;5;40,44085124;-3,62683974
132;133;4_77;20240628;4;77;CIUDAD LINEAL;I;77;504; ;91;7;U;28;79;7901;790101;00582;Calle;de;Arturo Soria;N;2; ; ;28027;15;93;153;T0796669;0790101414;4;1;A;2;079-15-415;415; ;559-2;2;3;19990405;19930701; ;445986;4476781;N; ; ; ; ;5;40,43804841;-3,63815759
133;134;4_79;20240628;4;79;QUINTANA;I;79;506; ;93;310;U;28;79;7901;790101;06453;Calle;de la;Virgen del Sagrario;N;2; ; ;28027;15;108;153;T0797112;0790101412;;1;A;2;079-15-413;413; ;559-2;2;3;19990405;19930701; ;445202;4476291;N; ; ; ; ;5;40,43358494;-3,64736224
134;135;4_80;20240628;4;80;EL CARMEN;I;80;507; ;93;203;U;28;79;7901;790101;45119;Calle;de;Raquel Méller;N;2; ; ;28027;15;115;154;T0797265;0790101410;;1;A;2;079-15-410;410; ;559-2;2;3;19990405;19930701; ;444334;4476110;N; ; ; ; ;5;40,43189329;-3,65757255
135;136;4_83;20240628;4;83;NUÑEZ DE BALBOA;I;83;510; ;93;283;U;28;79;7901;790101;03219;Calle;de;Juan Bravo;N;20; ; ;28006;4;115;46;T0797259; ;;1;A;1;079-04-066;66; ;559-2;2;3;19990405;19930701; ;442214;4476225;N; ; ; ; ;5, 9;40,43278061;-3,68257991
136;137;4_84;20240628;4;84;RUBEN DARIO;I;84;511; ;93;323;U;28;79;7901;790101;01875;Paseo;de;Eduardo Dato;N;33; ; ;28010;7;82;74;T0797099;0790101294;;6;A;1;079-07-135;135; ;559-1;2;3;19990405;19930701; ;441624;4476271;N; ; ; ; ;5;40,43315794;-3,6895416
137;138;4_9;20240628;4;9;BILBAO;I;9;109; ;93;160;U;28;79;7901;790101;05315;Calle;de;Sagasta;N;2; ; ;28004;7;51;73;T0797766;0790101297;;5;A;1;079-07-138;138; ;559-1;2;3;19990405;19930701; ;440548;4475824;T; ; ; ; ;1, 4;40,42905603;-3,70218207
138;139;4_90;20240628;4;90;LA LATINA;I;90;517; ;93;248;U;28;79;7901;790101;05526;Calle;de;San Millán;N;5; ; ;28005;1;25;12;T0799657;0790101A11;;5;A;1;079-01-019;19; ;559-3;2;3;19990405;19930701; ;440025;4473855;N; ; ; ; ;5;40,41128033;-3,70816087
139;140;4_94;20240628;4;94;MARQUES DE VADILLO;I;94;521; ;93;269;U;28;79;7901;790101;03887;Gta;del;Marqués de Vadillo;N;4; ; ;28019;11;181;112;T07911399;0790101598;;4;A;2;079-11-276;276; ;559-3;2;3;19990405;19930701; ;439351;4472315;N; ; ; ; ;5;40,39735629;-3,71596008
140;141;4_95;20240628;4;95;URGEL;I;95;522; ;93;358;U;28;79;7901;790101;11051;Calle;del;Camino Viejo de Leganés;N;1; ; ;28019;11;41;112;T07911970;0790101593;;4;A;2;079-11-284;284; ;559-3;2;3;19990405;19930701; ;438698;4471876;N; ; ; ; ;5;40,39335177;-3,72360482
141;142;4_97;20240628;4;97;VISTA ALEGRE;I;97;524; ;93;373;U;28;79;7901;790101;04383;Calle;de la;Oca;N;74; ; ;28025;11;107;114;T07912575;0790101634;;4;A;2;079-11-289;289; ;559-3;2;3;19990405;19930701; ;437318;4471387;N; ; ; ; ;5;40,38884703;-3,73982455
142;143;4_98;20240628;4;98;CARABANCHEL;I;98;525; ;93;165;U;28;79;7901;790101;01901;Gta;del;Ejército;N;1; ; ;28047;11;89;114;T07912698;0790101635;;4;A;2;079-11-288;288; ;559-3;2;3;19990405;19930701; ;436888;4471277;N; ; ; ; ;5;40,38782702;-3,74487052
143;144;4_345;20240628;4;345;PACO DE LUCIA;I;345;952; ;93;480;U;28;79;7901;;45945;Calle;de;Monasterio de Las Huelgas;N;5; ; ;28034;8;135;87;T079679; ;;7;A;1;079-08-160;160; ;559-1;4;3;20150325;20150325; ;440026;4483665;T; ; ; ; ;9;40,49970799;-3,70912735
144;145;4_137;20240628;4;137;PUEBLO NUEVO;I;78;706; ;93;305;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;372; ; ;28027;15;100;153;T0796862;0790101414;;1;A;2;079-15-414;414; ;559-2;2;3;19990405;19930701; ;445588;4476519;T; ; ; ; ;5, 7;40,43565852;-3,64282294
145;146;4_78;20240628;4;78;PUEBLO NUEVO;I;78;505; ;93;305;U;28;79;7901;790101;00132;Calle;de;Alcalá;N;372; ; ;28027;15;100;153;T0796862;0790101414;;1;A;2;079-15-414;414; ;559-2;2;3;19990405;19930701; ;445588;4476523;T; ; ; ; ;5, 7;40,43569284;-3,64282326
146;147;4_124;20240628;4;124;CIUDAD UNIVERSITARIA;I;124;622; ;92;70;U;28;79;7901;790101;08012;Avda; ;Complutense;N;1; ; ;28040;9;33;93;T0795967;0790101253;5;6;A;2;079-09-219;219; ;559-1;2;3;19990405;19930701; ;438474;4477451;T; ; ; ; ;6;40,44356468;-3,72678481
147;148;4_122;20240628;4;122;GUZMAN EL BUENO;I;122;620; ;93;225;U;28;79;7901;790101;02695;Calle;de;Guzmán el Bueno;N;118; ; ;28003;7;135;76;T0795687;0790101275;;6;A;1;079-07-121;121; ;559-1;2;3;19990405;19930701; ;439706;4477752;T; ; ; ; ;6, 7;40,44636608;-3,71229404
148;149;4_146;20240628;4;146;GUZMAN EL BUENO;I;122;715; ;93;225;U;28;79;7901;790101;02695;Calle;de;Guzmán el Bueno;N;118; ; ;28003;7;135;76;T0795687;0790101275;;6;A;1;079-07-121;121; ;559-1;2;3;19990430;19930701; ;439706;4477748;T; ; ; ; ;6, 7;40,4463289;-3,71229364
149;150;4_176;20240628;4;176;VINATEROS;I;176;916; ;93;372;U;28;79;7901;790101;07514;Calle;del;Camino de los Vinateros;N;70; ; ;28030;14;30;144;T0799800;0790101694;;3;A;2;079-14-380;380; ;559-4;2;3;19990405;19930701; ;444727;4473704;N; ; ; ; ;9;40,41023993;-3,65273421
150;151;4_177;20240628;4;177;ARTILLEROS;I;177;917; ;93;144;U;28;79;7901;790101;07514;Calle;del;Camino de los Vinateros;N;210; ; ;28030;14;64;146;T07910371;0790101694;;3;A;2;079-14-385;385; ;559-4;2;3;19990405;19930701; ;445650;4473140;N; ; ; ; ;9;40,40522383;-3,64181234
151;152;4_18;20240628;4;18;PACIFICO;I;18;118; ;92;53;U;28;79;7901;790101;01357;Avda;de la;Ciudad de Barcelona;N;79; ; ;28007;3;95;31;T07910963;0790101715;1;3;A;1;079-03-063;63; ;559-4;2;3;19990405;19930701; ;442819;4472721;T; ; ; ; ;1, 6;40,40126179;-3,67513656
152;153;4_20;20240628;4;20;NUEVA NUMANCIA;I;20;120; ;93;281;U;28;79;7901;790101;00130;Avda;de la;Albufera;N;70; ; ;28053;13;52;132;T07911684;0790101721;;3;A;2;079-13-351;351; ;559-4;2;3;19990405;19930701; ;443747;4472079;N; ; ; ; ;1;40,39553816;-3,6641417
153;154;4_181;20240628;4;181;SAN CIPRIANO;I;181;921; ;93;327;U;28;79;7901;790101;08410;Calle;de;San Cipriano;N;68; ; ;28032;19;7;191;T07910711;0790101892;;3;A;2;079-19-531;531; ;559-4;2;3;19990405;19930701; ;448993;4472960;T; ; ; ; ;9;40,40381176;-3,60239405
