OID_;OBJECTID;IDESTACION;FECHAACTUA;MODO;CODIGOESTA;DENOMINACI;SITUACION;CODIGOCTME;CODIGOEMPR;DENOMINA_1;MODOINTERC;CODIGOINTE;TIPO;CODIGOPROV;CODIGOMUNI;CODIGOENTI;CODIGONUCL;CODIGOVIA;TIPOVIA;PARTICULA;NOMBREVIA;TIPONUMERO;NUMEROPORT;CALIFICADO;CARRETERA;CODIGOPOST;DISTRITO;SECCIONCEN;BARRIO;TESELA;SECTORURBA;SECTOR;CORREDOR;CORONATARI;CORONA123;ZONATRANSP;ENCUESTADO;ENCUESTAAF;HOJA25000;ACONDICION;ACONDICI_1;FECHAALTA;FECHAINICI;FECHAFIN;X;Y;GRADOACCES;SITUACIONC;DENOMINA_2;INTERURBAN;INTERURB_1;LINEAS;POINT_Y;POINT_X
17;18;4_270;20240628;4;270;CIUDAD DE LOS ANGELES;I;270;354; ;93;172;U;28;79;7901;790101;00345;Avda;de;Andalucía;N;38; ; ;28041;17;86;175;T07915466;0790101837;;4;A;2;079-17-467;467; ;559-3;2;3;20070420;20070101; ;441213;4468107;T; ; ; ; ;3;40,35958543;-3,69362644
18;19;4_272;20240628;4;272;SAN CRISTOBAL;I;272;356; ;93;328;U;28;79;7901;790101;00345;Avda;de;Andalucía;N;81; ; ;28021;17;106;171;T07916091;0790101857;;4;A;2;079-17-484;484; ;559-3;2;3;20070420;20070101; ;441236;4466104;T; ; ; ; ;3;40,34154194;-3,6931803
19;20;4_209;20240628;4;209;PUERTA DEL SUR;I;205;1201; ;92;307;U;28;7;701;;02418;Avda;de;Leganés;N;52; ; ;28924;2;1;; ; ;;5;B1;3;007-011;654; ; ;2;3;20030120;20030101; ;431106;4466622;T; ; ; ; ;10, 12;40,34543087;-3,81248918
20;21;4_288;20240628;4;288;COSLADA CENTRAL;I;288;755; ;92;87;U;28;49;4901;490101;A0080;Calle;del;Doctor Fleming;N;41; ; ;28821;1;13;;T049291;0490101010;8;2;B1;3;049-005;898; ;559-2;2;3;20070507;20070101; ;452504;4475148;T; ; ; ; ;7;40,42373621;-3,56119235
21;22;4_135;20240628;4;135;GARCIA NOBLEJAS;I;135;704; ;93;65;U;28;79;7901;790101;03514;Calle;de;Luis del Campo;N;1; ; ;28017;15;73;152;T0797944;0790101449;;1;A;2;079-15-423;423; ;559-2;2;3;19990405;19930701; ;446390;4475710;N; ; ; ; ;7;40,42842319;-3,63329947
22;23;4_138;20240628;4;138;BARRIO DE LA CONCEPCION;I;138;707; ;93;154;U;28;79;7901;790101;09814;Calle;de;Martínez Villergas;N;1; ; ;28027;15;136;155;T0796553;0790101407;;1;A;2;079-15-408;408; ;559-2;2;3;19990405;19930701; ;444813;4476906;T; ; ; ; ;7;40,4390994;-3,652004
23;24;4_14;20240628;4;14;ANTON MARTIN;I;14;114; ;93;138;U;28;79;7901;790101;00645;Calle;de;Atocha;N;50; ; ;28012;1;27;12;T0799542;0790101A10;;5;A;1;079-01-020;20; ;559-3;2;3;19990405;19930701; ;440772;4473980;N; ; ; ; ;1;40,41246357;-3,69937296
24;25;4_142;20240628;4;142;GREGORIO MARAÑON;I;142;711; ;92;223;U;28;79;7901;790101;02527;Calle;de;José Abascal;N;65; ; ;28003;7;94;75;T0796539;0790101286;;6;A;1;079-07-130;130; ;559-1;2;3;19990405;19930701; ;441463;4476838;T; ; ; ; ;7, 10;40,438251;-3,69148286
25;26;4_143;20240628;4;143;ALONSO CANO;I;143;712; ;93;131;U;28;79;7901;790101;02527;Calle;de;José Abascal;N;18; ; ;28010;7;90;74;T0796622;0790101293;;6;A;1;079-07-134;134; ;559-1;2;3;19990405;19930701; ;440805;4476857;T; ; ; ; ;7;40,43837538;-3,69924564
26;27;4_147;20240628;4;147;FRANCOS RODRIGUEZ;I;147;716; ;93;215;U;28;79;7901;790101;11041;Avda;de;Pablo Iglesias;N;87; ; ;28039;9;39;93;T0794428;0790101256;;6;A;1;079-09-217;217; ;559-1;2;3;19990430;19930701; ;439707;4478875;T; ; ; ; ;7;40,45648182;-3,71238667
