,codigo,nombre,zona,media_miles,ranking
158,127,Congosto,A,136.29,159
159,520,Pirámides,A,135.55,160
160,1205,Universidad Rey Juan Carlos,B2,134.85,161
161,1215,Parque de los Estados,B2,134.25,162
162,803,Pinar del Rey,A,134.07,163
163,207,Sevilla,A,133.67,164
164,409,Lista,A,131.34,165
165,416,Esperanza,A,129.69,166
166,1230,San Nicasio,B1,127.69,167
167,419,San Lorenzo,A,127.28,168
168,530,Casa de Campo,A,127.08,169
169,309,Ventura Rodríguez,A,126.5,170
170,621,Vicente Aleixandre,A,126.02,171
171,526,Eugenia de Montijo,A,122.26,172
172,702,San Blas,A,121.94,173
173,901,Herrera Oria,A,121.53,174
174,421,Hortaleza,A,120.23,175
175,1202,Parque de Lisboa,B1,119.87,176
176,709,Cartagena,A,118.89,177
177,1212,Hospital de Fuenlabrada,B2,117.76,178
178,903,Ventilla,A,116.75,179
179,608,Arganzuela-Planetario,A,116.15,180
180,552,Alameda de Osuna,A,115.23,181
181,252,La Almudena,A,114.72,182
182,906,Pío XII,A,114.42,183
183,1061,Hospital Infanta Sofía,B1,113.4,184
184,128,La Gavia,A,112.89,185
185,254,Avenida de Guadalajara,A,112.29,186
186,908,Concha Espina,A,111.56,187
187,718,Antonio Machado,A,111.24,188
188,708,Parque de las Avenidas,A,108.82,189
189,617,República Argentina,A,108.75,190
190,1204,Parque Oeste,B1,108.42,191
191,255,Las Rosas,A,107.69,192
192,528,Empalme,A,107.55,193
193,1013,Lago,A,106.7,194
194,717,Valdezarza,A,105.97,195
195,720,Avenida de la Ilustración,A,105.51,196
196,420,Parque de Santa María,A,105.41,197
197,1056,La Moraleja,B1,105.35,198
198,519,Acacias,A,103.41,199
199,1219,Alonso de Mendoza,B1,102.66,200
200,130,Valdecarros,A,102.06,201
201,1213,Parque Europa,B2,101.26,202
202,1209,Manuela Malasaña,B2,100.81,203
203,1105,Carabanchel Alto,A,99.14,204
204,405,Colón,A,98.62,205
205,701,Las Musas,A,98.21,206
206,909,Cruz del Rayo,A,96.7,207
207,1104,San Francisco,A,94.21,208
208,751,Estadio Metropolitano,A,91.51,209
209,1228,Hospital Severo Ochoa,B1,90.5,210
210,754,Barrio del Puerto,B1,88.7,211
211,414,Avenida de La Paz,A,88.53,212
212,952,Paco de Lucía,A,87.03,213
213,152,Bambú,A,86.77,214
214,1060,Reyes Católicos,B1,86.04,215
215,1058,Manuel de Falla,B1,85.14,216
216,1052,Montecarmelo,A,83.96,217
217,1106,La Peseta,A,82.8,218
218,1051,Tres Olivos,A,82.64,219
219,721,Lacoma,A,81.25,220
220,422,Manoteras,A,80.92,221
221,951,Mirasierra,A,76.76,222
222,921,San Cipriano,A,76.62,223
223,1102,Abrantes,A,75.38,224
224,1224,El Bercial,B1,75.21,225
225,1059,Baunatal,B1,73.92,226
226,1218,Conservatorio,B1,67.05,227
227,1055,La Granja,B1,66.64,228
228,1107,La Fortuna,B1,65.45,229
229,1223,Los Espartales,B1,63.35,230
230,551,El Capricho,A,60.56,231
231,905,Duque de Pastrana,A,53.9,232
232,1103,Pan Bendito,A,50.58,233
233,723,Pitis,A,41.09,234
234,1054,Ronda de la Comunicación,A,37.01,235
235,1217,Arroyo Culebro,B1,34.36,236
236,722,Arroyofresno,A,26.38,237
