,codigo,nombre
217,1209,MANUELA MALASAÑA
218,1210,LORANCA
219,1212,HOSPITAL DE FUENLABRADA
220,1213,PARQUE EUROPA
221,1214,FUENLABRADA CENTRAL
222,1215,PARQUE DE LOS ESTADOS
223,1217,ARROYO CULEBRO
224,1218,CONSERVATORIO
225,1219,ALONSO DE MENDOZA
226,1220,GETAFE CENTRAL
227,1221,JUAN DE LA CIERVA
228,1222,EL CASAR
229,1223,LOS ESPARTALES
230,1224,EL BERCIAL
231,1225,EL CARRASCAL
232,1226,JULIAN BESTEIRO
233,1227,CASA DEL RELOJ
234,1228,HOSPITAL SEVERO OCHOA
235,1229,LEGANES CENTRAL
236,1230,SAN NICASIO
