dia_semana,EMT,cercanias,conc_carretera,metro
1,1476551.48630137,569807.4109589041,911338.5890410959,2018457.3561643835
2,1556898.4520547944,600429.7671232877,961490.8698630137,2151373.808219178
3,1539676.493150685,602332.2123287672,954758.5684931506,2171707.294520548
4,1512493.4246575343,592662.9657534247,939302.7328767123,2155392.020547945
5,1483540.198630137,581071.1095890411,930156.5342465753,2161173.9246575343
6,901132.198630137,378072.1301369863,496386.38356164383,1531268.602739726
7,664366.768707483,303143.0816326531,353518.6666666667,1190102.8095238095
